text,label
The government announced a new education policy.,REAL
NASA found evidence of ancient life on Mars.,REAL
Claim your free iPhone now by clicking this link!,FAKE
Scientists invented a pill that reverses aging.,REAL
This one weird trick will make you rich overnight!,FAKE
The Prime Minister addressed the nation today.,REAL
"Aliens are secretly living among us, report says.",FAKE
The stock market hits an all-time high.,REAL
Win a vacation now! Limited time offer!,FAKE
New study shows eating chocolate boosts brain power.,REAL
"Vaccines cause autism, according to fake news site.",FAKE
"Electric cars are the future, says Elon Musk.",REAL
COVID-19 vaccine implants microchips - hoax debunked.,FAKE
UN announces mission to eliminate world hunger.,REAL
Your computer is infected! Download this antivirus.,FAKE
Global temperatures are rising at an alarming rate.,REAL
Earn $1000/day from home with no skills!,FAKE
India successfully lands spacecraft on the moon.,REAL
Worldâ€™s largest diamond found in Africa.,REAL
Click to watch the shocking video now!,FAKE
